City_ID,City,Max Temp,Description,Lat,Lng,Hotel Name
84,Saint-Philippe,297.9,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Akdagmadeni,276.05,overcast clouds,39.6603,35.8836,Hanedan Otel
86,Yarim,279.79,clear sky,14.298,44.3779,وليد المسوري ابو اسد
87,Tasiilaq,271.24,snow,65.6145,-37.6368,The Red House
88,Roald,276.23,light rain,62.5833,6.1333,Flem Cabins
89,Cidreira,294.36,overcast clouds,-30.1811,-50.2056,Hotel Castelo
90,Onega,256.71,clear sky,63.9061,38.1404,Lunny Kot Guest House
91,Clyde River,262.28,light snow,70.4692,-68.5914,Qamaq Hotel
92,Pangody,238.76,broken clouds,65.85,74.4859,Elizaveta Shevchuk's House
93,Iqaluit,260.0,light snow,63.7506,-68.5145,Frobisher Inn
94,Gao,296.7,few clouds,16.6362,1.637,
95,Sao Miguel Do Araguaia,297.19,light rain,-13.275,-50.1628,Hotel Executivo Palace
96,Atbasar,267.84,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
97,Inta,248.52,broken clouds,66.0317,60.1659,Apartments in Inta city
98,Vila Franca Do Campo,290.48,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
99,Aden,299.33,clear sky,12.7794,45.0367,Sama Emirate Hotel
100,Antsohihy,297.7,clear sky,-14.8796,47.9875,Hotel de Ville
101,Dromolaxia,291.08,broken clouds,34.8761,33.586,Sea N Lake View Hotel Apartments
102,Nigran,287.39,broken clouds,42.1415,-8.8066,Hotel Holiday
103,Asosa,292.07,clear sky,10.0667,34.5333,Blendana Hotel Assosa
104,Los Llanos De Aridane,291.01,few clouds,28.6585,-17.9182,Valle Aridane
105,Maarianhamina,264.07,light shower snow,60.0973,19.9348,Park Alandia Hotel
107,Dakar,296.22,overcast clouds,14.6937,-17.4441,Novotel Dakar
108,Stuhr,276.11,snow,53.0333,8.75,Hotel Robben
109,Thurles,276.58,clear sky,52.6819,-7.8022,Anner Hotel 4 Star
110,Colesberg,289.66,overcast clouds,-30.72,25.0972,Bhelekazi Guesthouse
112,Cayenne,298.17,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
113,Moroni,299.63,broken clouds,-11.7022,43.2551,Hotel les Arcades
114,Punta Arenas,285.21,few clouds,-53.15,-70.9167,Hotel Hain
115,Ilo,292.57,broken clouds,-17.6394,-71.3375,Torreblanca Hotel
116,Longyearbyen,266.06,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
117,Leczyca,273.19,overcast clouds,52.0596,19.1997,Bursa szkolna
118,Sept-Iles,266.51,clear sky,50.2001,-66.3821,Comfort Inn
119,Sorland,271.3,clear sky,67.667,12.6934,Sjybrygga fiskecamp
120,Vardo,267.11,few clouds,70.3705,31.1107,Vardø Hotel AS
121,Havoysund,263.64,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
122,Kruisfontein,289.2,light rain,-34.0033,24.7314,Oyster Bay House Rental
123,Husavik,263.1,few clouds,66.0449,-17.3389,Bjarnabúð
124,Mehamn,265.34,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
125,Snezhnogorsk,255.37,scattered clouds,69.1933,33.2531,Severnoye Siyaniye
